From,To,Intensity,Fuel,Value
2021-08-03T17:30Z,2021-08-03T18:00Z,113,nuclear,0.0
2021-08-03T17:30Z,2021-08-03T18:00Z,113,other,0.0
2021-08-03T17:30Z,2021-08-03T18:00Z,113,hydro,0.7
2021-08-03T17:30Z,2021-08-03T18:00Z,113,solar,2.0
2021-08-03T17:30Z,2021-08-03T18:00Z,113,wind,1.7
2021-08-03T18:00Z,2021-08-03T18:30Z,117,biomass,0.0
2021-08-03T18:00Z,2021-08-03T18:30Z,117,coal,0.0
2021-08-03T18:00Z,2021-08-03T18:30Z,117,imports,71.0
2021-08-03T18:00Z,2021-08-03T18:30Z,117,gas,25.3
2021-08-03T18:00Z,2021-08-03T18:30Z,117,nuclear,0.0
2021-08-03T18:00Z,2021-08-03T18:30Z,117,other,0.0
2021-08-03T18:00Z,2021-08-03T18:30Z,117,hydro,0.7
2021-08-03T18:00Z,2021-08-03T18:30Z,117,solar,1.2
2021-08-03T18:00Z,2021-08-03T18:30Z,117,wind,1.7
2021-08-03T18:30Z,2021-08-03T19:00Z,116,biomass,0.0
2021-08-03T18:30Z,2021-08-03T19:00Z,116,coal,0.0
2021-08-03T18:30Z,2021-08-03T19:00Z,116,imports,71.9
2021-08-03T18:30Z,2021-08-03T19:00Z,116,gas,24.9
2021-08-03T18:30Z,2021-08-03T19:00Z,116,nuclear,0.0
2021-08-03T18:30Z,2021-08-03T19:00Z,116,other,0.0
2021-08-03T18:30Z,2021-08-03T19:00Z,116,hydro,0.8
2021-08-03T18:30Z,2021-08-03T19:00Z,116,solar,0.6
2021-08-03T18:30Z,2021-08-03T19:00Z,116,wind,1.8
2021-08-03T19:00Z,2021-08-03T19:30Z,113,biomass,0.0
2021-08-03T19:00Z,2021-08-03T19:30Z,113,coal,0.0
2021-08-03T19:00Z,2021-08-03T19:30Z,113,imports,73.1
2021-08-03T19:00Z,2021-08-03T19:30Z,113,gas,24.2
2021-08-03T19:00Z,2021-08-03T19:30Z,113,nuclear,0.0
2021-08-03T19:00Z,2021-08-03T19:30Z,113,other,0.0
2021-08-03T19:00Z,2021-08-03T19:30Z,113,hydro,0.8
2021-08-03T19:00Z,2021-08-03T19:30Z,113,solar,0.2
2021-08-03T19:00Z,2021-08-03T19:30Z,113,wind,1.8
2021-08-03T19:30Z,2021-08-03T20:00Z,112,biomass,0.0
2021-08-03T19:30Z,2021-08-03T20:00Z,112,coal,0.0
2021-08-03T19:30Z,2021-08-03T20:00Z,112,imports,73.6
2021-08-03T19:30Z,2021-08-03T20:00Z,112,gas,23.8
2021-08-03T19:30Z,2021-08-03T20:00Z,112,nuclear,0.0
2021-08-03T19:30Z,2021-08-03T20:00Z,112,other,0.0
2021-08-03T19:30Z,2021-08-03T20:00Z,112,hydro,0.6
2021-08-03T19:30Z,2021-08-03T20:00Z,112,solar,0.0
2021-08-03T19:30Z,2021-08-03T20:00Z,112,wind,1.9
